fid,gid,xcoord,ycoord
"1",마라231909,128.852927351171,35.2063481461837
"2",마라154986,128.769435564656,35.2766781893748
"3",마라213944,128.833673508581,35.2381187844923
"4",마마105025,128.716094306486,35.3123898738339
"5",마라202940,128.821528552654,35.2346455079555
"6",마마223040,128.846092744911,35.3245366745784
"7",마라142954,128.755798547316,35.2479683047038
"8",마마139018,128.75339045404,35.3056976202566
"9",마라155986,128.770534878288,35.2766666475287
"10",마마320037,128.952734147396,35.3205973732309
"11",마라209955,128.829440300263,35.2480832507039
"12",마라248966,128.872464115743,35.2575207118709
"13",마라240892,128.862556288893,35.1909124745806
"14",마마224093,128.847986309385,35.3723008512711
"15",마마215077,128.837843086997,35.3579878692609
"16",마마288000,128.91695767488,35.287662565354
"17",마라179880,128.795398255499,35.1808299075516
"18",마마314011,128.945718061581,35.2972398295285
"19",마라198942,128.817162802211,35.2364963596703
"20",마라199897,128.817605748736,35.1959181249111
"21",마라281955,128.908559491165,35.2471880968734
"22",마마220095,128.843613893233,35.3741527679709
"23",마라273935,128.899458861726,35.2292613352135
"24",마라259943,128.884200693794,35.2366497720792
"25",마라281947,128.908434767659,35.2399766201095
"26",마마200050,128.820940903935,35.3338302744427
"27",마라186890,128.803228250228,35.1897622744831
"28",마라192927,128.810352814217,35.2230458321754
"29",마라292937,128.920363863016,35.2308210333484
"30",마마098009,128.708181073644,35.2980431007946
"31",마라364967,128.999961146548,35.2569087934008
"32",마마233051,128.857257760589,35.3343295517157
"33",마라151970,128.7659131857,35.2622890236184
"34",마라140980,128.753961730385,35.2714298065405
"35",마라179896,128.795627225425,35.1952536669165
"36",마라182917,128.799223370748,35.2141494734267
"37",마라224901,128.845120097028,35.1992221048021
"38",마라256945,128.880935087057,35.2384903213553
"39",마마111016,128.722571118193,35.3042098922283
"40",마마216040,128.838393234763,35.324622163744
"41",마마182041,128.801009602059,35.325931887389
"42",마마326038,128.959349279036,35.3214192967408
"43",마라179887,128.795498409826,35.187140306669
"44",마라210864,128.829201463559,35.1660374293708
"45",마라250960,128.874570802591,35.2520870821177
"46",마라244963,128.868022622837,35.2548661561812
"47",마라275921,128.901439068229,35.2166157430982
"48",마마162045,128.779066949177,35.3297725267653
"49",마마190008,128.80932976641,35.2960886311764
"50",마마131012,128.744509890811,35.3003795798591
"51",마라210920,128.830024047184,35.2165198696287
"52",마라262988,128.888188482287,35.2771768506357
"53",마마245034,128.870199727483,35.3188561780184
"54",마라296929,128.924632283834,35.2235579328527
"55",마마329035,128.962600066324,35.3186752153618
"56",마라201918,128.820108543624,35.214825148323
"57",마마293061,128.923417952258,35.3425845523672
"58",마라188907,128.805669753266,35.2050637767105
"59",마마150028,128.765627691297,35.3145863979138
"60",마마255007,128.880784406377,35.2943922592542
"61",마라132952,128.744781634788,35.2462788672185
"62",마라277944,128.903993124145,35.237323382546
"63",마마216039,128.838378376041,35.3237207146529
"64",마라229912,128.850775487562,35.2090770605462
"65",마마179042,128.797724107694,35.3268688199606
"66",마마199046,128.819782211502,35.3302364722437
"67",마라182916,128.799209005596,35.2132479936164
"68",마라357940,128.9918226241,35.2326660952529
"69",마마211022,128.832627306586,35.3084567860282
"70",마마123004,128.735603075133,35.2932578787266
"71",마라207988,128.827727742059,35.2778556315749
"72",마라261932,128.886229417368,35.2267087234547
"73",마마200063,128.821131673105,35.3455491651072
"74",마라184928,128.80157861031,35.224042134733
"75",마라197937,128.815991240745,35.2320009599872
"76",마라167927,128.782888302591,35.2233400427654
"77",마라279938,128.906097212,35.231889247121
"78",마라345961,128.978982893462,35.2517574357836
"79",마마213091,128.83585023596,35.3706324314544
"80",마라248916,128.871704983594,35.2124482206855
"81",마마206088,128.828102009964,35.3680130255471
"82",마마249019,128.874370292446,35.3052846755495
"83",마라142946,128.755687344827,35.2407563804274
"84",마라131942,128.743545073015,35.2372752156809
"85",마라172878,128.787683725021,35.1791089015753
"86",마라240969,128.863717327882,35.2603244781483
